newick	colless	sackin	cophenetic	qi	cherries	automorphisms
(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,*)))))))))));	55	77	220	0	1	2
(*,(*,(*,(*,(*,(*,(*,(*,((*,*),(*,*))))))))));	52	76	218	3	2	8
(*,(*,(*,(*,(*,(*,(*,((*,*),(*,(*,*))))))))));	51	75	215	9	2	4
(*,(*,(*,(*,(*,(*,((*,*),(*,(*,(*,*))))))))));	50	74	211	18	2	4
(*,(*,(*,(*,(*,(*,((*,*),((*,*),(*,*)))))))));	47	73	209	21	3	16
(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,(*,*)))))))));	47	73	208	27	2	8
(*,(*,(*,(*,(*,((*,*),(*,(*,(*,(*,*))))))))));	49	73	206	30	2	4
(*,(*,(*,(*,(*,((*,*),(*,((*,*),(*,*)))))))));	46	72	204	33	3	16
(*,(*,(*,(*,(*,((*,*),((*,*),(*,(*,*)))))))));	45	71	201	39	3	8
(*,(*,(*,(*,(*,((*,(*,*)),(*,(*,(*,*)))))))));	45	71	199	54	2	4
(*,(*,(*,(*,(*,((*,(*,*)),((*,*),(*,*))))))));	42	70	197	57	3	16
(*,(*,(*,(*,((*,*),(*,(*,(*,(*,(*,*))))))))));	48	72	200	45	2	4
(*,(*,(*,(*,((*,*),(*,(*,((*,*),(*,*)))))))));	45	71	198	48	3	16
(*,(*,(*,(*,((*,*),(*,((*,*),(*,(*,*)))))))));	44	70	195	54	3	8
(*,(*,(*,(*,((*,*),((*,*),(*,(*,(*,*)))))))));	43	69	191	63	3	8
(*,(*,(*,(*,((*,*),((*,*),((*,*),(*,*))))))));	40	68	189	66	4	32
(*,(*,(*,(*,((*,*),((*,(*,*)),(*,(*,*))))))));	40	68	188	72	3	16
(*,(*,(*,(*,((*,(*,*)),(*,(*,(*,(*,*)))))))));	43	69	188	90	2	4
(*,(*,(*,(*,((*,(*,*)),(*,((*,*),(*,*))))))));	40	68	186	93	3	16
(*,(*,(*,(*,((*,(*,*)),((*,*),(*,(*,*))))))));	39	67	183	99	3	8
(*,(*,(*,(*,((*,(*,(*,*))),(*,(*,(*,*))))))));	40	68	184	108	2	8
(*,(*,(*,(*,((*,(*,(*,*))),((*,*),(*,*)))))));	37	67	182	111	3	16
(*,(*,(*,(*,(((*,*),(*,*)),((*,*),(*,*)))))));	34	66	180	114	4	128
