4	0	0	0	0	0	2
5	0	0	0	0	0	3
6	1	0	1	0	0	6
7	2	0	4	0	0	11
8	11	0	16	1	1	23
9	41	4	62	11	7	46
10	178	18	247	35	28	98
11	677	82	974	157	117	207
12	2814	301	4003	605	418	451
13	11928	1301	16623	2447	1497	983
14	51953	5006	71225	10087	5891	2179
15	228989	20878	311439	41886	22384	4850
16	1036867	85617	1394480	177566	86382	10905
17	4788399	379239	6361482	765220	347868	24631
18	22478393	1627365	29569548	3374142	1415621	56011
19	107307314	7380551	139600470	15100666	5826898	127912
20	518646329	33191610	668878058	68843484	25038310	293547
